reaction number,reaction,reaction rate,description,simplified_reaction,simplified_reaction_rate,equations,simplified_equations
147,Lymph_Node.PNT_Int_PD1 + Lymph_Node.mAPC_Int_P2_PDL1 <-> Lymph_Node.[PNT_PD1-PDL1],[kon_PD1_PDL1]*Lymph_Node.PNT_Int_PD1*Lymph_Node.mAPC_Int_P2_PDL1/[Volume_PNT-Receptor_Int]-[koff_PD1_PDL1]*Lymph_Node.[PNT_PD1-PDL1],Interaction at the immunological synapse between PD-L1 on mAPCs and PD-1 on Primed Naive T cells in the lymph node,delta.GX + delta.MX <-> delta.GZ,kon_PD1_PDL1*delta.GX*delta.MX/Volume_PNT-Receptor_Int-koff_PD1_PDL1*delta.GZ,-Lymph_Node.PNT_Int_PD1  = - Lymph_Node.mAPC_Int_P2_PDL1  =  Lymph_Node.[PNT_PD1-PDL1] = [kon_PD1_PDL1]*Lymph_Node.PNT_Int_PD1*Lymph_Node.mAPC_Int_P2_PDL1/[Volume_PNT-Receptor_Int]-[koff_PD1_PDL1]*Lymph_Node.[PNT_PD1-PDL1],-delta.GX  = - delta.MX  =  delta.GZ = kon_PD1_PDL1*delta.GX*delta.MX/Volume_PNT-Receptor_Int-koff_PD1_PDL1*delta.GZ
148,Lymph_Node.PNT_Int_PD1 + Lymph_Node.PD1_mab <-> Lymph_Node.PD1mAb_PNT_PD1,[kon_PD1-PD1mAb]*Lymph_Node.PNT_Int_PD1*Lymph_Node.PD1_mab/Vtdln-[koff_PD1-PD1mAb]*[PD1mAb_PNT_PD1],Interaction at the immunological synapse between PD-1 on Primed Naive T cells involved in the second priming phase with mAPCs and Anti-PD-1 mAb in the lymph node,delta.GX + delta.FD <-> delta.FM,kon_PD1-PD1mAb*delta.GX*delta.FD/Vtdln-koff_PD1-PD1mAb*FM,-Lymph_Node.PNT_Int_PD1  = - Lymph_Node.PD1_mab  =  Lymph_Node.PD1mAb_PNT_PD1 = [kon_PD1-PD1mAb]*Lymph_Node.PNT_Int_PD1*Lymph_Node.PD1_mab/Vtdln-[koff_PD1-PD1mAb]*[PD1mAb_PNT_PD1],-delta.GX  = - delta.FD  =  delta.FM = kon_PD1-PD1mAb*delta.GX*delta.FD/Vtdln-koff_PD1-PD1mAb*FM
149,Lymph_Node.PNT_Int_PD1 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_PD1+PD1mAb_PNT_PD1+[PNT_PD1-PDL2]+[PNT_PD1-PDL1]),PD-1 expression threshold on Primed Naive T cells for interaction with mAPCs in the lymph node,delta.GX -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.GX+FM+HA+GZ),-Lymph_Node.PNT_Int_PD1  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_PD1+PD1mAb_PNT_PD1+[PNT_PD1-PDL2]+[PNT_PD1-PDL1]),-delta.GX  =  Exp_CD28/80/86/PD1/L1/L2*(delta.GX+FM+HA+GZ)
150,Lymph_Node.PNT_Int_PDL1 + Lymph_Node.mAPC_Int_P2_PD1 <-> Lymph_Node.[PNT_PDL1-PD1],[kon_PD1_PDL1]*Lymph_Node.PNT_Int_PDL1*Lymph_Node.mAPC_Int_P2_PD1/[Volume_PNT-Receptor_Int]-[koff_PD1_PDL1]*Lymph_Node.[PNT_PDL1-PD1],Interaction at the immunological synapse between PD-1 on mAPCs and PD-L1 on Primed Naive T cells in the lymph node,delta.GY + delta.MW <-> delta.HC,kon_PD1_PDL1*delta.GY*delta.MW/Volume_PNT-Receptor_Int-koff_PD1_PDL1*delta.HC,-Lymph_Node.PNT_Int_PDL1  = - Lymph_Node.mAPC_Int_P2_PD1  =  Lymph_Node.[PNT_PDL1-PD1] = [kon_PD1_PDL1]*Lymph_Node.PNT_Int_PDL1*Lymph_Node.mAPC_Int_P2_PD1/[Volume_PNT-Receptor_Int]-[koff_PD1_PDL1]*Lymph_Node.[PNT_PDL1-PD1],-delta.GY  = - delta.MW  =  delta.HC = kon_PD1_PDL1*delta.GY*delta.MW/Volume_PNT-Receptor_Int-koff_PD1_PDL1*delta.HC
151,Lymph_Node.PNT_Int_PDL1 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_PDL1+[PDL1mAb-PNT_PDL1]+[PNT_PDL1-CD80]+[PNT_PDL1-PD1]),PD-L1 expression threshold on Primed Naïve T cells for interaction with mAPCs in the lymph node,delta.GY -> null,Exp_CD28/80/86/PD1/L1/L2*(delta.GY+GK+HB+HC),-Lymph_Node.PNT_Int_PDL1  =  [Exp_CD28/80/86/PD1/L1/L2]*(Lymph_Node.PNT_Int_PDL1+[PDL1mAb-PNT_PDL1]+[PNT_PDL1-CD80]+[PNT_PDL1-PD1]),-delta.GY  =  Exp_CD28/80/86/PD1/L1/L2*(delta.GY+GK+HB+HC)
152,Lymph_Node.PNT1_Int -> Lymph_Node.PNT_CTLA4 + Lymph_Node.PNT1_Int,[Exp_CTLA4]*(([CTLA4_receptors-Int-PNT]/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),CTLA-4 expression by Primed Naïve T cells for interaction with mAPCs in the lymph node,delta.GP -> delta.GU + delta.GP,Exp_CTLA4*((CTLA4_receptors-Int-PNT/Avagadro's_Num))*(MT/(mAPC_per_T_cell)),-Lymph_Node.PNT1_Int  =  Lymph_Node.PNT_CTLA4  =  Lymph_Node.PNT1_Int = [Exp_CTLA4]*(([CTLA4_receptors-Int-PNT]/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),-delta.GP  =  delta.GU  =  delta.GP = Exp_CTLA4*((CTLA4_receptors-Int-PNT/Avagadro's_Num))*(MT/(mAPC_per_T_cell))
153,Lymph_Node.PNT1_Int -> Lymph_Node.PNT_Int_CD28 + Lymph_Node.PNT1_Int,[Exp_CD28/80/86/PD1/L1/L2]*(([CD28_receptors-per-Tcell]/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),CD28 expression by Primed Naïve T cells for interaction with mAPCs in the lymph node,delta.GP -> delta.GV + delta.GP,Exp_CD28/80/86/PD1/L1/L2*((CD28_receptors-per-Tcell/Avagadro's_Num))*(MT/(mAPC_per_T_cell)),-Lymph_Node.PNT1_Int  =  Lymph_Node.PNT_Int_CD28  =  Lymph_Node.PNT1_Int = [Exp_CD28/80/86/PD1/L1/L2]*(([CD28_receptors-per-Tcell]/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),-delta.GP  =  delta.GV  =  delta.GP = Exp_CD28/80/86/PD1/L1/L2*((CD28_receptors-per-Tcell/Avagadro's_Num))*(MT/(mAPC_per_T_cell))
154,Lymph_Node.PNT1_Int -> Lymph_Node.PNT_Int_CD80 + Lymph_Node.PNT1_Int,[Exp_CD28/80/86/PD1/L1/L2]*((([%CD80_receptor_level_PNT]*[CD80_receptors-per-Tcell])/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),CD80 expression by Primed Naïve T cells for interaction with mAPCs in the lymph node,delta.GP -> delta.GW + delta.GP,Exp_CD28/80/86/PD1/L1/L2*(((%CD80_receptor_level_PNT*CD80_receptors-per-Tcell)/Avagadro's_Num))*(MT/(mAPC_per_T_cell)),-Lymph_Node.PNT1_Int  =  Lymph_Node.PNT_Int_CD80  =  Lymph_Node.PNT1_Int = [Exp_CD28/80/86/PD1/L1/L2]*((([%CD80_receptor_level_PNT]*[CD80_receptors-per-Tcell])/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),-delta.GP  =  delta.GW  =  delta.GP = Exp_CD28/80/86/PD1/L1/L2*(((%CD80_receptor_level_PNT*CD80_receptors-per-Tcell)/Avagadro's_Num))*(MT/(mAPC_per_T_cell))
155,Lymph_Node.PNT1_Int -> Lymph_Node.PNT1_Int + Lymph_Node.PNT_Int_PD1,[Exp_CD28/80/86/PD1/L1/L2]*((([%PD1_receptor_level_PNT]*[PD1_receptors-per-Tcell])/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),PD-1 expression by Primed Naïve T cells for interaction with mAPCs in the lymph node,delta.GP -> delta.GP + delta.GX,Exp_CD28/80/86/PD1/L1/L2*(((%PD1_receptor_level_PNT*PD1_receptors-per-Tcell)/Avagadro's_Num))*(MT/(mAPC_per_T_cell)),-Lymph_Node.PNT1_Int  =  Lymph_Node.PNT1_Int  =  Lymph_Node.PNT_Int_PD1 = [Exp_CD28/80/86/PD1/L1/L2]*((([%PD1_receptor_level_PNT]*[PD1_receptors-per-Tcell])/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),-delta.GP  =  delta.GP  =  delta.GX = Exp_CD28/80/86/PD1/L1/L2*(((%PD1_receptor_level_PNT*PD1_receptors-per-Tcell)/Avagadro's_Num))*(MT/(mAPC_per_T_cell))
156,Lymph_Node.PNT1_Int -> Lymph_Node.PNT1_Int + Lymph_Node.PNT_Int_PDL1,[Exp_CD28/80/86/PD1/L1/L2]*((([%PDL1_receptor_level_PNT]*[PDL1_receptors-per-Tcell])/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),PD-L1 expression by Primed Naïve T cells for interaction with mAPCs in the lymph node,delta.GP -> delta.GP + delta.GY,Exp_CD28/80/86/PD1/L1/L2*(((%PDL1_receptor_level_PNT*PDL1_receptors-per-Tcell)/Avagadro's_Num))*(MT/(mAPC_per_T_cell)),-Lymph_Node.PNT1_Int  =  Lymph_Node.PNT1_Int  =  Lymph_Node.PNT_Int_PDL1 = [Exp_CD28/80/86/PD1/L1/L2]*((([%PDL1_receptor_level_PNT]*[PDL1_receptors-per-Tcell])/[Avagadro's_Num]))*(mAPC_Int_P2/(mAPC_per_T_cell)),-delta.GP  =  delta.GP  =  delta.GY = Exp_CD28/80/86/PD1/L1/L2*(((%PDL1_receptor_level_PNT*PDL1_receptors-per-Tcell)/Avagadro's_Num))*(MT/(mAPC_per_T_cell))
157,Lymph_Node.Primed_Naive_T -> Lymph_Node.Primed_Naive_T1,kf_Phase2P*Lymph_Node.Primed_Naive_T*[Prob_PNT-mAPC_Interact],Primed Naïve T cells engaging in the second priming phase in the lymph node,delta.HH -> delta.HI,kf_Phase2P*delta.HH*Prob_PNT-mAPC_Interact,-Lymph_Node.Primed_Naive_T  =  Lymph_Node.Primed_Naive_T1 = kf_Phase2P*Lymph_Node.Primed_Naive_T*[Prob_PNT-mAPC_Interact],-delta.HH  =  delta.HI = kf_Phase2P*delta.HH*Prob_PNT-mAPC_Interact
158,Lymph_Node.Primed_Naive_T1 -> Lymph_Node.Anergic_Naive_T,kf_no_prolif*Lymph_Node.Primed_Naive_T1*[Sig_PNT=CTLA4/PD1/L1/CD80],Primed Naïve T cells unsuccessfully undergoing the second priming phase to become anergic T cells in the lymph node,delta.HI -> delta.AC,kf_no_prolif*delta.HI*Sig_PNT=CTLA4/PD1/L1/CD80,-Lymph_Node.Primed_Naive_T1  =  Lymph_Node.Anergic_Naive_T = kf_no_prolif*Lymph_Node.Primed_Naive_T1*[Sig_PNT=CTLA4/PD1/L1/CD80],-delta.HI  =  delta.AC = kf_no_prolif*delta.HI*Sig_PNT=CTLA4/PD1/L1/CD80
159,Lymph_Node.Primed_Naive_T1 -> Lymph_Node.Primed_Naive_T,PrimeTLN2_rate*Lymph_Node.Primed_Naive_T1*(1/Antigen_Intensity)*((mAPC_Int_P2)/(mAPC_Int_P2+Primed_Naive_T1*mAPC50_per_T_cell+0.001*mole)),Primed Naïve T cells engaged in the second priming phase disengaging form being primed in the lymph node,delta.HI -> delta.HH,PrimeTLN2_rate*delta.HI*(1/Antigen_Intensity)*((MT)/(MT+HI*mAPC50_per_T_cell+0.001*mole)),-Lymph_Node.Primed_Naive_T1  =  Lymph_Node.Primed_Naive_T = PrimeTLN2_rate*Lymph_Node.Primed_Naive_T1*(1/Antigen_Intensity)*((mAPC_Int_P2)/(mAPC_Int_P2+Primed_Naive_T1*mAPC50_per_T_cell+0.001*mole)),-delta.HI  =  delta.HH = PrimeTLN2_rate*delta.HI*(1/Antigen_Intensity)*((MT)/(MT+HI*mAPC50_per_T_cell+0.001*mole))
160,Lymph_Node.Primed_Naive_T1 -> Lymph_Node.Prolif_Naive_T,PrimeTLN2_rate*Lymph_Node.Primed_Naive_T1*(1-[Sig_PNT=CTLA4/PD1/L1/CD80])*Antigen_Intensity*((mAPC_Int_P2)/(mAPC_Int_P2 +Primed_Naive_T1*mAPC50_per_T_cell +0.001*mole)),Primed Naïve T cells engaged in the second priming phase successfully undergoing priming to become Proliferating T cells in the lymph node,delta.HI -> delta.HK,PrimeTLN2_rate*delta.HI*(1-Sig_PNT=CTLA4/PD1/L1/CD80)*Antigen_Intensity*((MT)/(MT +HI*mAPC50_per_T_cell +0.001*mole)),-Lymph_Node.Primed_Naive_T1  =  Lymph_Node.Prolif_Naive_T = PrimeTLN2_rate*Lymph_Node.Primed_Naive_T1*(1-[Sig_PNT=CTLA4/PD1/L1/CD80])*Antigen_Intensity*((mAPC_Int_P2)/(mAPC_Int_P2 +Primed_Naive_T1*mAPC50_per_T_cell +0.001*mole)),-delta.HI  =  delta.HK = PrimeTLN2_rate*delta.HI*(1-Sig_PNT=CTLA4/PD1/L1/CD80)*Antigen_Intensity*((MT)/(MT +HI*mAPC50_per_T_cell +0.001*mole))
161,Lymph_Node.Prolif_Naive_T -> Lymph_Node.Effector_T,kf_Prolif_end*Lymph_Node.Prolif_Naive_T,Proliferating T cells becoming fully activated Effector T cells in the lymph node,delta.HK -> delta.DY,kf_Prolif_end*delta.HK,-Lymph_Node.Prolif_Naive_T  =  Lymph_Node.Effector_T = kf_Prolif_end*Lymph_Node.Prolif_Naive_T,-delta.HK  =  delta.DY = kf_Prolif_end*delta.HK
162,Lymph_Node.Prolif_Naive_T -> null,Lymph_Node.Prolif_Naive_T*[Prolif_Thresh],Sets the proliferation threshold for Proliferating T cells in the lymph node,delta.HK -> null,delta.HK*Prolif_Thresh,-Lymph_Node.Prolif_Naive_T  =  Lymph_Node.Prolif_Naive_T*[Prolif_Thresh],-delta.HK  =  delta.HK*Prolif_Thresh
163,Lymph_Node.TrALN_CT_aCT -> null,Endo_CTLA4*Lymph_Node.TrALN_CT_aCT,Internalization of the Anti-CTLA-4 antibodies bound to CTLA-4 receptors on T Regulatory cells in the lymph node,delta.LE -> null,Endo_CTLA4*delta.LE,-Lymph_Node.TrALN_CT_aCT  =  Endo_CTLA4*Lymph_Node.TrALN_CT_aCT,-delta.LE  =  Endo_CTLA4*delta.LE
164,Lymph_Node.TrALN_CT_CD80 -> null,Endo_CTLA4*Lymph_Node.TrALN_CT_CD80,Transendocytosis of the CD80 receptors on mAPCs through CTLA-4 binding and internalization on T Regulatory cells in the lymph node,delta.LC -> null,Endo_CTLA4*delta.LC,-Lymph_Node.TrALN_CT_CD80  =  Endo_CTLA4*Lymph_Node.TrALN_CT_CD80,-delta.LC  =  Endo_CTLA4*delta.LC
165,Lymph_Node.TrALN_CT_CD86 -> null,Endo_CTLA4*Lymph_Node.TrALN_CT_CD86,Transendocytosis of the CD86 receptors on mAPCs through CTLA-4 binding and internalization on T Regulatory cells in the lymph node,delta.LD -> null,Endo_CTLA4*delta.LD,-Lymph_Node.TrALN_CT_CD86  =  Endo_CTLA4*Lymph_Node.TrALN_CT_CD86,-delta.LD  =  Endo_CTLA4*delta.LD
166,Lymph_Node.TregLN -> Lymph_Node.TregLN + Lymph_Node.TrLN_CTLA4,[Exp_CTLA4]*Lymph_Node.TregLN*([CTLA4_receptors-Tr]/[Avagadro's_Num]),CTLA-4 expression on the surface of non-interacting T Regulatory cells in the lymph node,delta.LM -> delta.LM + delta.LF,Exp_CTLA4*delta.LM*(CTLA4_receptors-Tr/Avagadro's_Num),-Lymph_Node.TregLN  =  Lymph_Node.TregLN  =  Lymph_Node.TrLN_CTLA4 = [Exp_CTLA4]*Lymph_Node.TregLN*([CTLA4_receptors-Tr]/[Avagadro's_Num]),-delta.LM  =  delta.LM  =  delta.LF = Exp_CTLA4*delta.LM*(CTLA4_receptors-Tr/Avagadro's_Num)
167,Lymph_Node.TregLN + Lymph_Node.mAPC1 -> Lymph_Node.TregLN_mAPC + Lymph_Node.TregLN + Lymph_Node.mAPC1,TregLN_Engage*Lymph_Node.mAPC1*(( Lymph_Node.TregLN /(Lymph_Node.mAPC1 + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Lymph_Node.TregLN /(Lymph_Node.mAPC1 + 1E-100*mole))^gamma_TC_Assoc),Interaction between T Regulatory cells and mAPCs in lymph node,delta.LM + delta.MM -> delta.LQ + delta.LM + delta.MM,TregLN_Engage*delta.MM*(( delta.LM /(delta.MM + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (delta.LM /(delta.MM + 1E-100*mole))^gamma_TC_Assoc),-Lymph_Node.TregLN  = - Lymph_Node.mAPC1  =  Lymph_Node.TregLN_mAPC  =  Lymph_Node.TregLN  =  Lymph_Node.mAPC1 = TregLN_Engage*Lymph_Node.mAPC1*(( Lymph_Node.TregLN /(Lymph_Node.mAPC1 + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Lymph_Node.TregLN /(Lymph_Node.mAPC1 + 1E-100*mole))^gamma_TC_Assoc),-delta.LM  = - delta.MM  =  delta.LQ  =  delta.LM  =  delta.MM = TregLN_Engage*delta.MM*(( delta.LM /(delta.MM + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (delta.LM /(delta.MM + 1E-100*mole))^gamma_TC_Assoc)
168,Lymph_Node.TregLN + Lymph_Node.Naive_T2 -> Lymph_Node.[TregLN-NT] + Lymph_Node.TregLN + Lymph_Node.Naive_T2,TregLN_Engage*Lymph_Node.Naive_T2*(( Lymph_Node.TregLN /(Lymph_Node.Naive_T2 + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Lymph_Node.TregLN /(Lymph_Node.Naive_T2 + 1E-100*mole))^gamma_TC_Assoc),Interaction between T Regulatory cells and Naïve T cells in lymph node,delta.LM + delta.ER -> delta.LM-NT + delta.LM + delta.ER,TregLN_Engage*delta.ER*(( delta.LM /(delta.ER + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (delta.LM /(delta.ER + 1E-100*mole))^gamma_TC_Assoc),-Lymph_Node.TregLN  = - Lymph_Node.Naive_T2  =  Lymph_Node.[TregLN-NT]  =  Lymph_Node.TregLN  =  Lymph_Node.Naive_T2 = TregLN_Engage*Lymph_Node.Naive_T2*(( Lymph_Node.TregLN /(Lymph_Node.Naive_T2 + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Lymph_Node.TregLN /(Lymph_Node.Naive_T2 + 1E-100*mole))^gamma_TC_Assoc),-delta.LM  = - delta.ER  =  delta.LM-NT  =  delta.LM  =  delta.ER = TregLN_Engage*delta.ER*(( delta.LM /(delta.ER + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (delta.LM /(delta.ER + 1E-100*mole))^gamma_TC_Assoc)
169,Lymph_Node.TregLN + Lymph_Node.Primed_Naive_T2 -> Lymph_Node.[TregLN-PNT] + Lymph_Node.TregLN + Lymph_Node.Primed_Naive_T2,TregLN_Engage* Lymph_Node.Primed_Naive_T2*((Lymph_Node.TregLN /(Lymph_Node.Primed_Naive_T2+ 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Lymph_Node.TregLN /(Lymph_Node.Primed_Naive_T2+ 1E-100*mole))^gamma_TC_Assoc),Interaction between T Regulatory cells and Primed Naïve T cells in lymph node,delta.LM + delta.HJ -> delta.LM-PNT + delta.LM + delta.HJ,TregLN_Engage* delta.HJ*((delta.LM /(delta.HJ+ 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (delta.LM /(delta.HJ+ 1E-100*mole))^gamma_TC_Assoc),-Lymph_Node.TregLN  = - Lymph_Node.Primed_Naive_T2  =  Lymph_Node.[TregLN-PNT]  =  Lymph_Node.TregLN  =  Lymph_Node.Primed_Naive_T2 = TregLN_Engage* Lymph_Node.Primed_Naive_T2*((Lymph_Node.TregLN /(Lymph_Node.Primed_Naive_T2+ 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Lymph_Node.TregLN /(Lymph_Node.Primed_Naive_T2+ 1E-100*mole))^gamma_TC_Assoc),-delta.LM  = - delta.HJ  =  delta.LM-PNT  =  delta.LM  =  delta.HJ = TregLN_Engage* delta.HJ*((delta.LM /(delta.HJ+ 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (delta.LM /(delta.HJ+ 1E-100*mole))^gamma_TC_Assoc)
170,Lymph_Node.TregLN_mAPC + Lymph_Node.mAPC -> null,[Treg:mAPC_IntTime]*Lymph_Node.TregLN_mAPC*(1-[CTLA4Sig_TrLN-mAPC]),Dissociation of T Regulatory cells from mAPCs in the lymph node with inactivation of the latter,delta.LQ + delta.ML -> null,Treg:mAPC_IntTime*delta.LQ*(1-CTLA4Sig_TrLN-ML),-Lymph_Node.TregLN_mAPC  = - Lymph_Node.mAPC  =  [Treg:mAPC_IntTime]*Lymph_Node.TregLN_mAPC*(1-[CTLA4Sig_TrLN-mAPC]),-delta.LQ  = - delta.ML  =  Treg:mAPC_IntTime*delta.LQ*(1-CTLA4Sig_TrLN-ML)
171,Lymph_Node.TregLN_mAPC -> null,[Treg:mAPC_IntTime]*Lymph_Node.TregLN_mAPC*([CTLA4Sig_TrLN-mAPC]),Dissociation of T Regulatory cells from mAPCs in the lymph node without inactivation of the latter,delta.LQ -> null,Treg:mAPC_IntTime*delta.LQ*(CTLA4Sig_TrLN-ML),-Lymph_Node.TregLN_mAPC  =  [Treg:mAPC_IntTime]*Lymph_Node.TregLN_mAPC*([CTLA4Sig_TrLN-mAPC]),-delta.LQ  =  Treg:mAPC_IntTime*delta.LQ*(CTLA4Sig_TrLN-ML)
172,Lymph_Node.TregLN_mAPC1 -> Lymph_Node.[Tr-mAPC_CD80] + Lymph_Node.TregLN_mAPC1,[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.TregLN_mAPC1*([CD80_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),CD80 expression by mAPCs for interaction with T Regulatory cells in the lymph node,delta.LR -> delta.KZ + delta.LR,Exp_CD28/80/86/PD1/L1/L2*delta.LR*(CD80_receptors-per-ML/Avagadro's_Num)*(1/Tr_cells_per_mAPC),-Lymph_Node.TregLN_mAPC1  =  Lymph_Node.[Tr-mAPC_CD80]  =  Lymph_Node.TregLN_mAPC1 = [Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.TregLN_mAPC1*([CD80_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),-delta.LR  =  delta.KZ  =  delta.LR = Exp_CD28/80/86/PD1/L1/L2*delta.LR*(CD80_receptors-per-ML/Avagadro's_Num)*(1/Tr_cells_per_mAPC)
173,Lymph_Node.TregLN_mAPC1 -> Lymph_Node.[Tr-mAPC_CD86] + Lymph_Node.TregLN_mAPC1,[Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.TregLN_mAPC1*([CD86_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),CD86 expression by mAPCs for interaction with T Regulatory cells in the lymph node,delta.LR -> delta.LA + delta.LR,Exp_CD28/80/86/PD1/L1/L2*delta.LR*(CD86_receptors-per-ML/Avagadro's_Num)*(1/Tr_cells_per_mAPC),-Lymph_Node.TregLN_mAPC1  =  Lymph_Node.[Tr-mAPC_CD86]  =  Lymph_Node.TregLN_mAPC1 = [Exp_CD28/80/86/PD1/L1/L2]*Lymph_Node.TregLN_mAPC1*([CD86_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),-delta.LR  =  delta.LA  =  delta.LR = Exp_CD28/80/86/PD1/L1/L2*delta.LR*(CD86_receptors-per-ML/Avagadro's_Num)*(1/Tr_cells_per_mAPC)
174,Lymph_Node.TregLN_mAPC1 -> Lymph_Node.[Tr-mAPC_CTLA4] + Lymph_Node.TregLN_mAPC1,[Exp_CTLA4]*Lymph_Node.TregLN_mAPC1*([CTLA4_receptors-Tr]/[Avagadro's_Num])*(1/mAPC_per_Tr_cell),CTLA-4 expression by T Regulatory cells for interaction with mAPCs in the lymph node,delta.LR -> delta.LB + delta.LR,Exp_CTLA4*delta.LR*(CTLA4_receptors-Tr/Avagadro's_Num)*(1/mAPC_per_Tr_cell),-Lymph_Node.TregLN_mAPC1  =  Lymph_Node.[Tr-mAPC_CTLA4]  =  Lymph_Node.TregLN_mAPC1 = [Exp_CTLA4]*Lymph_Node.TregLN_mAPC1*([CTLA4_receptors-Tr]/[Avagadro's_Num])*(1/mAPC_per_Tr_cell),-delta.LR  =  delta.LB  =  delta.LR = Exp_CTLA4*delta.LR*(CTLA4_receptors-Tr/Avagadro's_Num)*(1/mAPC_per_Tr_cell)
175,Lymph_Node.TrLN_CTLA4 + Lymph_Node.CTLA4_mab <-> Lymph_Node.TrLN_CT_aCT,kon_CTLA4mAb_CTLA4*Lymph_Node.TrLN_CTLA4*Lymph_Node.CTLA4_mab/Vtdln -koff_CTLA4mAb_CTLA4*Lymph_Node.TrLN_CT_aCT,Binding of Anti-CTLA-4 to CTLA-4 expressed on the surface of non-interacting T Regulatory in the lymph node,delta.LF + delta.CD <-> delta.LG,kon_CTLA4mAb_CTLA4*delta.LF*delta.CD/Vtdln -koff_CTLA4mAb_CTLA4*delta.LG,-Lymph_Node.TrLN_CTLA4  = - Lymph_Node.CTLA4_mab  =  Lymph_Node.TrLN_CT_aCT = kon_CTLA4mAb_CTLA4*Lymph_Node.TrLN_CTLA4*Lymph_Node.CTLA4_mab/Vtdln -koff_CTLA4mAb_CTLA4*Lymph_Node.TrLN_CT_aCT,-delta.LF  = - delta.CD  =  delta.LG = kon_CTLA4mAb_CTLA4*delta.LF*delta.CD/Vtdln -koff_CTLA4mAb_CTLA4*delta.LG
176,Lymph_Node.TrLN_CTLA4 -> null,[Exp_CTLA4]*(Lymph_Node.TrLN_CTLA4+[TrLN_CT_aCT]),CTLA-4 expression threshold on non-interacting T Regulatory cells in the lymph node,delta.LF -> null,Exp_CTLA4*(delta.LF+LG),-Lymph_Node.TrLN_CTLA4  =  [Exp_CTLA4]*(Lymph_Node.TrLN_CTLA4+[TrLN_CT_aCT]),-delta.LF  =  Exp_CTLA4*(delta.LF+LG)
177,null -> [Blood-Lymph].CTLA4_mabB,(k__DoseAdmin_AntiCTLA4*[BodyWeight (kg)]*CTLA4mAb)/(Ipilimumab_MW),Administration of Anti-CTLA-4 mAb into the central compartment,null -> alpha.CE,(k__DoseAdmin_AntiCTLA4*BodyWeight (kg)*CTLA4mAb)/(Ipilimumab_MW),-null  =  [Blood-Lymph].CTLA4_mabB = (k__DoseAdmin_AntiCTLA4*[BodyWeight (kg)]*CTLA4mAb)/(Ipilimumab_MW),-null  =  alpha.CE = (k__DoseAdmin_AntiCTLA4*BodyWeight (kg)*CTLA4mAb)/(Ipilimumab_MW)
178,null -> [Blood-Lymph].PD1_mabb,([BodyWeight (kg)]*PD1mAb)/(Nivolumab_MW)/T_IVinject,Administration of Anti-PD-1 mAb into the central compartment,null -> alpha.FJ,(BodyWeight (kg)*PD1mAb)/(Nivolumab_MW)/T_IVinject,-null  =  [Blood-Lymph].PD1_mabb = ([BodyWeight (kg)]*PD1mAb)/(Nivolumab_MW)/T_IVinject,-null  =  alpha.FJ = (BodyWeight (kg)*PD1mAb)/(Nivolumab_MW)/T_IVinject
